GenTrk, Raggio, Eff, Eff_real, fake_reco_trk, GenTrk, RecoTrk, RecoReal, RealTime, CPUTime, eff3hit, eff2hit, fake3, fake2, chi
10,0.4,0.988600,0.982839,0.005760,8.333000,8.238000,8.190000,0.003703,0.003710,0.780991,0.201848,0.001920,0.003840, 1000
10,0.4,0.990889,0.984086,0.006803,8.232000,8.157000,8.101000,0.002745,0.002700,0.775389,0.208698,0.002672,0.004130, 500
10,0.4,0.989776,0.983522,0.006255,8.314000,8.229000,8.177000,0.002810,0.002780,0.773996,0.209526,0.001924,0.004330, 400
10,0.4,0.988952,0.984508,0.004443,8.327000,8.235000,8.198000,0.002133,0.002080,0.776030,0.208478,0.001201,0.003242, 300
10,0.4,0.991241,0.987161,0.004080,8.334000,8.261000,8.227000,0.002144,0.002090,0.781018,0.206144,0.001080,0.003000, 200
10,0.4,0.992203,0.985966,0.006237,8.337000,8.272000,8.220000,0.002106,0.002050,0.776658,0.209308,0.002159,0.004078, 100
10,0.4,0.988756,0.984766,0.003990,8.271000,8.178000,8.145000,0.002008,0.001940,0.779350,0.205417,0.000967,0.003023, 75
10,0.4,0.989731,0.985019,0.004712,8.277000,8.192000,8.153000,0.002036,0.002010,0.778181,0.206838,0.001329,0.003383, 50
10,0.4,0.985814,0.980284,0.005530,8.318000,8.200000,8.154000,0.002039,0.001980,0.768935,0.211349,0.001322,0.004208, 25
10,0.4,0.988294,0.984591,0.003703,8.372000,8.274000,8.243000,0.002090,0.002070,0.779861,0.204730,0.000597,0.003106, 10
10,0.4,0.987898,0.983944,0.003954,8.346000,8.245000,8.212000,0.002119,0.002090,0.778217,0.205727,0.000000,0.003954, 5
10,0.4,0.811918,0.791490,0.020428,8.273000,6.717000,6.548000,0.002042,0.002070,0.589750,0.201741,0.000363,0.020065, 1
